product,chinese_product,date,to_date
Real Time,实时,2026/5/6,2025/5/6
Real Time,实时,2026/5/7,2025/5/7
Real Time,实时,2026/5/8,2025/5/8
Real Time,实时,2026/5/9,2025/5/9
Real Time,实时,2026/5/10,2025/5/10
Real Time,实时,2026/5/11,2025/5/11
Real Time,实时,2026/5/12,2025/5/12
Real Time,实时,2026/5/13,2025/5/16
Real Time,实时,2026/5/14,2025/5/17
Real Time,实时,2026/5/15,2025/5/18
Real Time,实时,2026/5/16,2025/5/13
Real Time,实时,2026/5/17,2025/5/14
Real Time,实时,2026/5/18,2025/5/15
Real Time,实时,2026/5/19,2025/5/19
Real Time,实时,2026/5/20,2025/5/20
Real Time,实时,2026/5/21,2025/5/28
Real Time,实时,2026/5/22,2025/5/29
Real Time,实时,2026/5/23,2025/5/23
Real Time,实时,2026/5/24,2025/5/24
Real Time,实时,2026/5/25,2025/5/25
Real Time,实时,2026/5/26,2025/5/26
Real Time,实时,2026/5/27,2025/5/27
Real Time,实时,2026/5/28,2025/5/21
Real Time,实时,2026/5/29,2025/5/22
Real Time,实时,2026/5/30,2025/5/30
Real Time,实时,2026/5/31,2025/5/31
Real Time,实时,2026/6/1,2025/6/1
Real Time,实时,2026/6/2,2025/6/2
Real Time,实时,2026/6/3,2025/6/3
Real Time,实时,2026/6/4,2025/6/4
Real Time,实时,2026/6/5,2025/6/5
Real Time,实时,2026/6/6,2025/6/6
Real Time,实时,2026/6/7,2025/6/7
Real Time,实时,2026/6/8,2025/6/8
Real Time,实时,2026/6/9,2025/6/9
Real Time,实时,2026/6/10,2025/6/10
Real Time,实时,2026/6/11,2025/6/11
Real Time,实时,2026/6/12,2025/6/12
Real Time,实时,2026/6/13,2025/6/13
Real Time,实时,2026/6/14,2025/6/14
Real Time,实时,2026/6/15,2025/6/15
Real Time,实时,2026/6/16,2025/6/16
Real Time,实时,2026/6/17,2025/6/17
Real Time,实时,2026/6/18,2025/6/18
Real Time,实时,2026/6/19,2025/6/19
Real Time,实时,2026/6/20,2025/6/20
Real Time,实时,2026/6/21,2025/6/21
Group,集团全周期,2026/5/6,2025/5/6
Group,集团全周期,2026/5/7,2025/5/7
Group,集团全周期,2026/5/8,2025/5/8
Group,集团全周期,2026/5/9,2025/5/9
Group,集团全周期,2026/5/10,2025/5/10
Group,集团全周期,2026/5/11,2025/5/11
Group,集团全周期,2026/5/12,2025/5/12
Group,集团全周期,2026/5/13,2025/5/16
Group,集团全周期,2026/5/14,2025/5/17
Group,集团全周期,2026/5/15,2025/5/18
Group,集团全周期,2026/5/16,2025/5/13
Group,集团全周期,2026/5/17,2025/5/14
Group,集团全周期,2026/5/18,2025/5/15
Group,集团全周期,2026/5/19,2025/5/19
Group,集团全周期,2026/5/20,2025/5/20
Group,集团全周期,2026/5/21,2025/5/28
Group,集团全周期,2026/5/22,2025/5/29
Group,集团全周期,2026/5/23,2026/5/23
Group,集团全周期,2026/5/24,2026/5/24
Group,集团全周期,2026/5/25,2026/5/25
Group,集团全周期,2026/5/26,2026/5/26
Group,集团全周期,2026/5/27,2026/5/27
Group,集团全周期,2026/5/28,2025/5/21
Group,集团全周期,2026/5/29,2025/5/22
Group,集团全周期,2026/5/30,2025/5/30
Group,集团全周期,2026/5/31,2025/5/31
Group,集团全周期,2026/6/1,2025/6/1
Group,集团全周期,2026/6/2,2025/6/2
Group,集团全周期,2026/6/3,2025/6/3
Group,集团全周期,2026/6/4,2025/6/4
Group,集团全周期,2026/6/5,2025/6/5
Group,集团全周期,2026/6/6,2025/6/6
Group,集团全周期,2026/6/7,2025/6/7
Group,集团全周期,2026/6/8,2025/6/8
Group,集团全周期,2026/6/9,2025/6/9
Group,集团全周期,2026/6/10,2025/6/10
Group,集团全周期,2026/6/11,2025/6/11
Group,集团全周期,2026/6/12,2025/6/12
Group,集团全周期,2026/6/13,2025/6/13
Group,集团全周期,2026/6/14,2025/6/14
Group,集团全周期,2026/6/15,2025/6/15
Group,集团全周期,2026/6/16,2025/6/16
Group,集团全周期,2026/6/17,2025/6/17
Group,集团全周期,2026/6/18,2025/6/18
Group,集团全周期,2026/6/19,2025/6/19
Group,集团全周期,2026/6/20,2025/6/20
Group,集团全周期,2026/6/21,2025/6/21
First Wave,618第一波,2026/5/13,2025/5/16
First Wave,618第一波,2026/5/14,2025/5/17
First Wave,618第一波,2026/5/15,2025/5/18
First Wave,618第一波,2026/5/16,2025/5/13
First Wave,618第一波,2026/5/17,2025/5/14
First Wave,618第一波,2026/5/18,2025/5/15
First Wave,618第一波,2026/5/19,2025/5/19
First Wave,618第一波,2026/5/20,2025/5/20
second Wave,618第二波,2026/5/21,2025/5/21
second Wave,618第二波,2026/5/22,2025/5/22
second Wave,618第二波,2026/5/23,2025/5/23
second Wave,618第二波,2026/5/24,2025/5/24
second Wave,618第二波,2026/5/25,2025/5/25
second Wave,618第二波,2026/5/26,2025/5/26
second Wave,618第二波,2026/5/27,2025/5/27
second Wave,618第二波,2026/5/28,2025/5/28
second Wave,618第二波,2026/5/29,2025/5/29
second Wave,618第二波,2026/5/30,2025/5/30
second Wave,618第二波,2026/5/31,2025/5/31
